Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
1990-01-16,3992239,97,898,234,288,284
1990-02-01,1078496,82,756,481,259,104
1990-02-16,3732892,01,889,596,386,601
1990-03-01,4968902,15,624,452,087,567
1990-03-16,3240205,88,443,275,775,559
1990-04-01,4734251,39,301,637,195,717
1990-04-16,5092890,84,664,059,912,489
1990-05-02,5898868,01,186,644,668,078
1990-05-16,5071272,34,565,815,942,465
1990-06-01,2355474,72,118,115,227,492
1990-06-16,3530344,65,878,144,198,371
1990-07-01,1076835,43,043,641,038,295
1990-07-16,3814178,11,342,619,112,770
1990-08-01,1867185,92,579,070,973,445
1990-08-16,1671935,43,325,746,361,644
1990-09-01,1622380,83,862,938,161,639
1990-09-16,5202390,55,461,211,085,747
1990-10-01,5738808,37,043,977,058,748
1990-10-16,5626303,56,351,928,923,431
1990-11-01,4380230,82,694,516,619,829
1990-11-16,1226536,06,426,020,721,050
1990-12-01,4771944,88,237,586,692,444
1990-12-16,4407799,21,708,359,171,238
1990-12-30,2190949,05,516,367,330,962
1991-01-16,5328736,29,649,645,225,388
1991-02-01,5396496,75,079,455,458,087
1991-02-16,3223780,33,992,658,242,596
1991-03-01,4598076,72,950,783,676,928
1991-03-16,5891641,59,540,715,527,866
1991-04-01,1606864,03,819,416,103,008
1991-04-16,4824037,57,565,711,970,206
1991-05-02,4222124,63,536,296,630,836
1991-05-16,2532303,63,931,269,688,802
1991-06-01,2496376,77,318,303,485,804
1991-06-16,5364632,91,370,785,761,268
1991-07-01,4441724,58,771,134,196,766
1991-07-16,1671946,62,822,846,951,882
1991-08-01,6580541,11,459,509,753,947
1991-08-16,3746551,89,845,377,044,182
1991-09-01,6700430,49,081,237,661,119
1991-09-16,4790449,18,114,298,220,381
1991-10-01,2730444,96,978,318,977,928
1991-10-16,2078202,38,585,566,338,314
1991-11-01,7894285,78,516,537,183,272
1991-11-16,4373528,08,979,477,937,643
1991-12-01,1470741,05,540,794,006,602
1991-12-16,7241436,88,613,667,717,597
1991-12-30,3208301,76,318,087,182,917
1992-01-16,1149428,18,034,543,672,132
1992-02-01,5986924,63,936,952,683,944
1992-02-16,1868701,94,641,849,349,599
1992-03-01,7291524,60,870,902,024,231
1992-03-16,1218353,48,004,578,543,737
1992-04-01,2244704,03,624,863,013,242
1992-04-16,2699374,10,836,662,139,325
1992-05-02,5765397,86,079,444,732,104
1992-05-16,2827496,59,333,738,246,890
1992-06-01,5184191,29,169,351,245,729
1992-06-16,5569432,92,392,880,914,221
1992-07-01,5119968,56,999,813,561,702
1992-07-16,7954430,87,492,324,756,339
1992-08-01,6697778,86,712,935,593,575
1992-08-16,6234607,91,978,251,422,151
1992-09-01,1446615,68,060,307,125,056
1992-09-16,6874108,88,221,127,030,623
1992-10-01,6379578,71,752,765,654,300
1992-10-16,3576993,79,412,312,037,964
1992-11-01,6267821,35,879,263,789,046
1992-11-16,3685682,45,223,632,049,295
1992-12-01,7120927,65,019,406,153,063
1992-12-16,4826531,92,945,601,383,851
1992-12-30,6662150,23,510,563,810,795
1993-01-16,5423816,25,419,335,947,620
1993-02-01,7459337,21,171,767,507,986
1993-02-16,7549455,41,165,031,850,034
1993-03-01,4006281,19,449,968,065,492
1993-03-16,7680699,98,554,547,731,509
1993-04-01,5825558,89,859,255,060,217
1993-04-16,5632018,09,265,995,970,200
1993-05-02,7749508,99,532,916,661,783
1993-05-16,1633983,53,109,740,812,606
1993-06-01,3488477,61,813,645,011,815
1993-06-16,2119871,39,146,955,961,223
1993-07-01,3820203,29,729,189,206,213
1993-07-16,5686061,21,865,873,702,818
1993-08-01,4137744,06,273,778,446,905
1993-08-16,4088644,86,030,260,200,033
1993-09-01,2812096,00,738,227,181,218
1993-09-16,4286755,11,296,963,890,504
1993-10-01,3415973,26,489,401,928,682
1993-10-16,7611764,58,254,216,684,566
1993-11-01,3908940,94,701,103,895,626
1993-11-16,7515123,82,410,507,184,112
1993-12-01,3670638,98,294,139,959,608
1993-12-16,4043500,69,646,156,478,253
1993-12-30,2669189,72,874,902,069,037
1994-01-16,4791270,23,873,237,845,708
1994-02-01,5984685,05,173,746,268,396
1994-02-16,7679044,76,943,520,753,486
1994-03-01,3373731,41,082,631,008,820
1994-03-16,1723336,19,382,166,515,185
1994-04-01,4269815,29,675,035,704,868
1994-04-16,7893913,21,785,982,151,594
1994-05-02,3072877,69,535,317,170,521
1994-05-16,2071764,29,093,544,535,746
1994-06-01,3560804,17,474,564,989,164
1994-06-16,1947355,53,302,583,524,669
1994-07-01,6568267,39,372,902,868,445
1994-07-16,5962891,74,424,686,628,622
1994-08-01,3114057,85,396,149,026,758
1994-08-16,6504760,28,303,724,897,677
1994-09-01,6220893,67,891,718,949,701
1994-09-16,4781931,88,046,255,164,886
1994-10-01,7128442,23,623,251,229,243
1994-10-16,7583048,79,165,294,428,024
1994-11-01,1676779,76,110,365,096,840
1994-11-16,6095849,82,504,902,225,816
1994-12-01,6832681,02,342,923,448,043
1994-12-16,5100040,50,654,129,766,544
1994-12-30,6284069,90,798,713,339,744
1995-01-16,922388,40,186,667,253,002
1995-02-01,198162,48,195,087,805,574
1995-02-16,869070,95,828,597,462,126
1995-03-01,411454,71,034,019,022,152
1995-03-16,646847,67,225,044,091,220
1995-04-01,427039,06,254,926,674,978
1995-04-16,053581,99,560,968,681,376
1995-05-02,504692,88,304,886,268,273
1995-05-17,220381,55,460,597,511,488
1995-06-01,105615,17,374,735,168,688
